IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
NA	LZHH	A9G35 		Choc5-1 		Gilliamella	gilli_bombus	NA	Bombus impatiens	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LZHJ	A9G37		GilliExp13		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus impatiens	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LZHK	A9G38		Imp1-1		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus impatiens	Zheng et al. (2016)	"""USA: Austin"" "	No
	LZHL	A9G39		Imp1-6		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus impatiens	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LZHO	A9G41		Nev5-1		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus nevadensis	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LZHP	A9G42		Nev6-6		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus nevadensis	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZHQ	A9G43 		Occ3-1 		Gilliamella		NA	Bombus occidentalis	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LZHR	A9G44		Occ4-3		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus occidentalis	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZGW	A9G47 		WF3-4 		Gilliamella	gilli_bombus	NA	Bombus pensylvanicus 	Zheng et al. (2016)	"""USA: Austin"" "	No
2758568604	NA 	Ga0227298		ESL0232		Gilliamella	gilli_bombus	NA	Bombus terrestris	Ellegaard et al. (2020)		No
2758568603	NA 	Ga0227301		ESL0250		Gilliamella	gilli_bombus	NA	Bombus pascuorum	Ellegaard et al. (2020)		No
2758568602	NA 	Ga0227302		ESL0254		Gilliamella	gilli_bombus	NA	Bombus pascuorum	Ellegaard et al. (2020)		Yes
2617270738	NA 	Ga0061080		R-53144		Gilliamella	gilli_bombus	Gilliamella intestini	soil?	JGI/Praet et al. (2017)		No
2639763093	JXCU	Ga0098617		Fhon2		Lkunkeei	lkun	Lactobacillus	Apis mellifera	Tamarit et al. (2015)	"Sweden, Jamtland"	Yes
2791355381	JXCT	Ga0308523		Fhon13		Lkunkeei	lkun	Lactobacillus	Apis mellifera	Tamarit et al. (2015)	"Sweden, Jamtland"	No
	NZ_JACFQW	H3T37		M0345		Lkunkeei	lkun	Lactobacillus	Apis mellifera	"Wu, J. and Zheng, H."	China	No
