Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,C12,false,F10,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,18.573772,17.286999,1.150583,,-7.589973,1.162099,0.670938,,false,1,true,3,10,Amp,,0.915924,N,N,Y,Y,81.602669,64.917549,,
37,D1,false,F04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.027527,24.998587,0.070274,,,,,,false,1,true,3,16,Amp,,0.974503,N,N,N,N,80.710388,,,
38,D2,false,F04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.049768,24.998587,0.070274,,,,,,false,1,true,3,17,Amp,,0.973702,N,N,N,N,80.710388,,,
39,D3,false,F04,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.918463,24.998587,0.070274,,,,,,false,1,true,3,17,Amp,,0.977862,N,N,N,N,81.009773,,,
40,D4,false,F06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.811573,25.018143,0.186654,,,,,,false,1,true,3,16,Amp,,0.981779,N,N,N,N,81.009773,,,
41,D5,false,F06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.174688,25.018143,0.186654,,,,,,false,1,true,3,17,Amp,,0.968537,N,N,N,N,80.859238,,,
42,D6,false,F06,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.068161,25.018143,0.186654,,,,,,false,1,true,3,17,Amp,,0.965992,N,N,N,N,80.859238,,,
43,D7,false,F08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.143309,25.18276,0.034275,,,,,,false,1,true,3,17,Amp,,0.974599,N,N,N,N,80.709435,,,
44,D8,false,F08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.205223,25.18276,0.034275,,,,,,false,1,true,3,17,Amp,,0.970188,N,N,N,N,80.709435,,,
45,D9,false,F08,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.199747,25.18276,0.034275,,,,,,false,1,true,3,17,Amp,,0.977907,N,N,N,N,80.859039,,,
46,D10,false,F10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.845476,24.876974,0.163198,,,,,,false,1,true,3,16,Amp,,0.970296,N,N,N,N,80.859039,,,
47,D11,false,F10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.053623,24.876974,0.163198,,,,,,false,1,true,3,17,Amp,,0.973872,N,N,N,N,80.708824,,,
48,D12,false,F10,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.73182,24.876974,0.163198,,,,,,false,1,true,3,17,Amp,,0.963074,N,N,N,N,80.857796,,,
49,E1,false,N05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,20.447672,18.928804,1.499314,,-6.207299,1.525063,0.880496,,false,1,true,3,11,Amp,,0.923262,N,N,Y,Y,81.604309,65.066833,,
50,E2,false,N05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,18.8889,18.928804,1.499314,,-6.207299,1.525063,0.880496,,false,1,true,3,10,Amp,,0.923099,N,N,Y,Y,82.05127,64.917847,,
51,E3,false,N05,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.44984,18.928804,1.499314,,-6.207299,1.525063,0.880496,,false,1,true,3,9,Amp,,0.94638,N,N,Y,Y,82.648712,64.918327,,
52,E4,false,N07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.47689,16.730614,0.220287,,-8.770953,0.282381,0.163033,,false,1,true,3,8,Amp,,0.920035,N,N,N,Y,82.797714,64.769333,,
53,E5,false,N07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.873116,16.730614,0.220287,,-8.770953,0.282381,0.163033,,false,1,true,3,9,Amp,,0.958526,N,N,N,Y,82.647003,64.620392,,
54,E6,false,N07,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.841837,16.730614,0.220287,,-8.770953,0.282381,0.163033,,false,1,true,3,8,Amp,,0.967084,N,N,N,Y,82.647003,64.620392,,
55,E7,false,N09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.375975,16.257401,0.113631,,-8.897941,0.124535,0.071901,,false,1,true,3,8,Amp,,0.965389,N,N,N,Y,82.94416,64.470444,,
56,E8,false,N09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.14946,16.257401,0.113631,,-8.897941,0.124535,0.071901,,false,1,true,3,8,Amp,,0.954285,N,N,N,Y,82.94416,64.470444,,
57,E9,false,N09,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.246769,16.257401,0.113631,,-8.897941,0.124535,0.071901,,false,1,true,3,8,Amp,,0.960637,N,N,N,Y,82.944763,64.322227,,
58,E10,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,17.213263,17.153906,1.408628,,,,,,false,1,true,3,9,Amp,,0.952906,N,N,Y,N,83.09375,,,
59,E11,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.716538,17.153906,1.408628,,,,,,false,1,true,3,8,Amp,,0.963493,N,N,Y,N,82.943436,,,
60,E12,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,18.531918,17.153906,1.408628,,,,,,false,1,true,3,10,Amp,,0.939137,N,N,Y,Y,83.092407,65.662422,,
61,F1,false,N05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.82332,25.136103,0.27906,,,,,,false,1,true,3,16,Amp,,0.978318,N,N,N,N,80.710388,,,
